id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
id1;58;management;married;tertiary;no;2143;yes;no;unknown;5;may;261;1;-1;0;unknown;no
id2;44;technician;single;secondary;no;29;yes;no;unknown;5;may;151;1;-1;0;unknown;no
id3;33;entrepreneur;married;secondary;no;2;yes;yes;unknown;5;may;76;1;-1;0;unknown;no
id4;47;blue-collar;married;unknown;no;1506;yes;no;unknown;5;may;92;1;-1;0;unknown;no
id5;33;unknown;single;unknown;no;1;no;no;unknown;5;may;198;1;-1;0;unknown;no
id6;35;management;married;tertiary;no;231;yes;no;unknown;5;may;139;1;-1;0;unknown;no
id7;28;management;single;tertiary;no;447;yes;yes;unknown;5;may;217;1;-1;0;unknown;no
id8;42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
id9;58;retired;married;primary;no;121;yes;no;unknown;5;may;50;1;-1;0;unknown;no
id10;43;technician;single;secondary;no;;yes;no;unknown;5;may;55;1;-1;0;unknown;no
id11;41;admin.;divorced;secondary;no;270;yes;no;unknown;5;may;222;1;-1;0;unknown;no
id12;29;admin.;single;secondary;no;390;yes;no;unknown;5;may;137;1;-1;0;unknown;no
id13;53;technician;married;secondary;no;6;yes;no;unknown;5;may;517;1;-1;0;unknown;no
id14;58;technician;married;unknown;no;71;yes;no;unknown;5;may;71;1;-1;0;unknown;no
id15;57;services;married;secondary;no;162;yes;no;unknown;5;may;174;1;-1;0;unknown;no
id16;51;retired;married;primary;no;;yes;no;unknown;5;may;353;1;-1;0;unknown;no
id17;45;admin.;single;unknown;no;13;yes;no;unknown;5;may;98;1;-1;0;unknown;no
id18;57;blue-collar;married;primary;no;52;yes;no;unknown;5;may;38;1;-1;0;unknown;no
id19;60;retired;married;primary;no;60;yes;no;unknown;5;may;219;1;-1;0;unknown;no
id20;33;services;married;secondary;no;0;yes;no;unknown;5;may;54;1;-1;0;unknown;no
id21;28;blue-collar;married;secondary;no;723;yes;yes;unknown;5;may;262;1;-1;0;unknown;no
id22;56;management;married;tertiary;no;779;yes;no;unknown;5;may;164;1;-1;0;unknown;no
id23;32;blue-collar;single;primary;no;23;yes;yes;unknown;5;may;160;1;-1;0;unknown;no
id24;25;services;married;secondary;no;50;yes;no;unknown;5;may;342;1;-1;0;unknown;no
id25;40;retired;married;primary;no;0;yes;yes;unknown;5;may;181;1;-1;0;unknown;no
id26;44;admin.;married;secondary;no;-372;yes;no;unknown;5;may;172;1;-1;0;unknown;no
id27;39;management;single;tertiary;no;255;yes;no;unknown;5;may;296;1;-1;0;unknown;no
id28;52;entrepreneur;married;secondary;no;113;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
id29;46;management;single;secondary;no;-246;yes;no;unknown;5;may;255;2;-1;0;unknown;no
id30;36;technician;single;secondary;no;;yes;yes;unknown;5;may;348;1;-1;0;unknown;no
id31;57;technician;married;secondary;no;839;no;yes;unknown;5;may;225;1;-1;0;unknown;no
id32;49;management;married;tertiary;no;378;yes;no;unknown;5;may;230;1;-1;0;unknown;no
id33;60;admin.;married;secondary;no;39;yes;yes;unknown;5;may;208;1;-1;0;unknown;no
id34;59;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;226;1;-1;0;unknown;no
id35;51;management;married;tertiary;no;10635;yes;no;unknown;5;may;336;1;-1;0;unknown;no
