entreprise_id,taille_entreprise,secteur,chiffre_affaires,nombre_employes,anciennete_relation,anciennete_entreprise,niveau_risque
1,Petite,Industrie,318780.09,3861,7,60,2
2,Grande,Technologie,263487.09,3140,9,81,1
3,Petite,Industrie,40482.15,929,22,97,4
4,Moyenne,Industrie,971817.71,4594,21,74,1
5,Moyenne,Technologie,228538.03,1551,12,63,5
6,Petite,Services,736689.46,1099,23,42,3
7,Grande,Industrie,764970.43,2416,29,51,5
8,Grande,Industrie,929964.82,2622,1,64,3
9,Petite,Services,40243.96,767,11,76,2
10,Petite,Industrie,873327.86,2328,21,56,4
11,Moyenne,Industrie,531953.92,4150,15,80,1
12,Petite,Industrie,636218.67,2780,2,41,4
13,Grande,Finance,648025.57,4664,20,32,1
14,Petite,Services,821599.83,4883,7,15,5
15,Moyenne,Industrie,340073.25,3160,21,62,5
16,Moyenne,Services,735720.68,3975,12,27,1
17,Moyenne,Santé,533292.33,2045,22,28,4
18,Moyenne,Santé,795460.07,588,18,81,1
19,Moyenne,Industrie,990640.57,4336,3,64,2
20,Petite,Services,208644.51,2108,7,59,5
21,Petite,Services,994702.16,1947,11,58,2
22,Petite,Services,98914.03,4460,18,2,5
23,Petite,Finance,12294.37,114,12,36,5
24,Moyenne,Santé,53720.32,196,6,71,3
25,Grande,Services,348364.58,908,5,13,2
26,Petite,Services,636577.27,866,26,15,2
27,Grande,Finance,78339.25,1088,1,89,3
28,Petite,Finance,15609.16,654,12,87,4
29,Petite,Services,937720.12,4139,27,60,2
30,Grande,Technologie,823707.37,3616,26,22,1
31,Moyenne,Services,811091.34,641,11,63,3
32,Petite,Services,885580.03,1041,4,90,2
33,Petite,Finance,703033.93,4136,27,97,4
34,Petite,Finance,113360.09,2153,18,75,2
35,Grande,Services,405109.19,3870,4,74,5
36,Moyenne,Services,725917.99,3162,17,25,1
37,Grande,Services,287531.12,3592,2,48,3
38,Grande,Finance,690532.3,3299,29,43,5
39,Moyenne,Services,34253.46,4266,24,38,4
40,Grande,Services,313075.97,2435,22,41,5
41,Moyenne,Industrie,553639.03,1884,2,45,5
42,Petite,Technologie,635768.93,3971,12,88,4
43,Moyenne,Santé,581270.26,3718,6,40,5
44,Petite,Technologie,700778.71,4131,10,97,3
45,Grande,Industrie,16027.86,4111,25,17,2
46,Grande,Santé,109931.79,2016,23,88,5
47,Petite,Services,870254.81,3378,25,57,3
48,Grande,Industrie,684931.16,2148,21,2,2
49,Moyenne,Services,121802.33,2505,23,96,2
50,Petite,Finance,843653.69,4586,27,62,5
51,Grande,Industrie,249808.91,1294,16,88,3
52,Petite,Finance,483477.29,1452,14,9,5
53,Moyenne,Industrie,153744.55,3204,7,68,4
54,Moyenne,Industrie,713008.96,1948,28,81,2
55,Grande,Finance,670185.88,3188,28,17,5
56,Moyenne,Santé,219001.35,3221,19,50,2
57,Petite,Technologie,864766.76,3141,23,94,3
58,Moyenne,Services,407292.96,3323,17,40,1
59,Petite,Industrie,299589.94,2787,9,58,5
60,Petite,Services,160806.29,995,26,75,5
61,Moyenne,Finance,273506.33,4925,13,85,2
62,Grande,Services,31806.65,2158,22,21,3
63,Moyenne,Finance,587424.92,230,5,18,4
64,Petite,Services,843808.44,781,23,55,3
